ID,DATE,TIME,VMAX,PER
AL011982,820603,0,30,10
AL011982,820603,6,40,15
AL011982,820603,12,50,20
AL011982,820603,18,75,35
AL011982,820604,0,65,15
AL011982,820604,6,55,-20
AL011982,820604,12,45,-20
AL011982,820604,18,40,-15
AL011982,820605,0,30,-15
AL011982,820605,6,25,-15
AL011982,820605,12,25,-5
AL011982,820605,18,25,0
AL011982,820606,0,25,0
AL011982,820606,6,25,0
AL011982,820606,12,20,-5
AL021982,820618,0,25,0
AL021982,820618,6,30,0
AL021982,820618,12,40,15
AL021982,820618,18,60,0
AL021982,820619,0,60,0
AL021982,820619,6,60,0
AL021982,820619,12,60,0
AL021982,820619,18,60,0
AL021982,820620,0,60,0
AL021982,820620,6,60,0
AL021982,820620,12,60,0
AL031982,820828,12,30,0
AL031982,820828,18,35,0
AL031982,820829,0,35,5
AL031982,820829,6,40,5
AL031982,820829,12,45,10
AL031982,820829,18,45,5
AL031982,820830,0,50,5
AL031982,820830,6,50,5
AL031982,820830,12,50,0
AL031982,820830,18,55,5
AL031982,820831,0,55,5
AL031982,820831,6,60,5
AL031982,820831,12,60,5
AL031982,820831,18,60,0
AL031982,820901,0,60,0
AL031982,820901,6,60,0
AL031982,820901,12,60,0
AL031982,820901,18,60,0
AL031982,820902,0,55,-5
AL031982,820902,6,45,-15
AL031982,820902,12,35,-20
AL031982,820902,18,30,-15
AL031982,820903,0,30,-5
AL031982,820903,6,30,0
AL031982,820903,12,30,0
AL031982,820903,18,30,0
AL031982,820904,0,30,0
AL031982,820904,6,30,0
AL031982,820904,12,30,0
AL031982,820904,18,30,0
AL031982,820905,0,30,0
AL031982,820905,6,25,-5
AL031982,820905,12,25,-5
AL031982,820905,18,30,5
AL031982,820906,0,30,5
AL031982,820906,6,30,0
AL031982,820906,12,25,-5
AL051982,820909,0,25,0
AL051982,820909,6,25,0
AL051982,820909,12,25,0
AL051982,820909,18,30,5
AL051982,820910,0,30,5
AL051982,820910,6,30,0
AL051982,820910,12,35,5
AL051982,820910,18,45,15
AL051982,820911,0,50,15
AL051982,820911,6,50,5
AL051982,820911,12,55,5
AL051982,820911,18,40,0
AL051982,820912,0,30,0
AL051982,820912,6,30,0
AL051982,820912,12,30,0
AL051982,820912,18,25,0
AL061982,820913,12,30,0
AL061982,820913,18,30,0
AL061982,820914,0,30,0
AL061982,820914,6,30,0
AL061982,820914,12,35,5
AL061982,820914,18,55,25
AL061982,820915,0,65,30
AL061982,820915,6,65,10
AL061982,820915,12,75,10
AL061982,820915,18,90,25
AL061982,820916,0,95,20
AL061982,820916,6,95,5
AL061982,820916,12,95,0
AL061982,820916,18,95,0
AL061982,820917,0,95,0
AL061982,820917,6,95,0
AL061982,820917,12,95,0
AL061982,820917,18,100,5
AL061982,820918,0,115,20
AL061982,820918,6,110,10
AL061982,820918,12,110,-5
AL061982,820918,18,100,-10
AL061982,820919,0,90,-20
AL061982,820919,6,75,-25
AL061982,820919,12,70,-20
AL061982,820919,18,70,-5
AL061982,820920,0,70,0
AL061982,820920,6,60,-10
AL061982,820920,12,50,-20
AL081982,820930,12,30,0
AL081982,820930,18,30,0
AL081982,821001,0,30,0
AL081982,821001,6,35,5
AL081982,821001,12,40,10
AL081982,821001,18,50,15
AL081982,821002,0,60,20
AL081982,821002,6,55,5
AL081982,821002,12,50,-10
AL081982,821002,18,45,-10
AL031983,830815,12,30,0
AL031983,830815,18,40,0
AL031983,830816,0,45,15
AL031983,830816,6,50,10
AL031983,830816,12,55,10
AL031983,830816,18,60,10
AL031983,830817,0,65,10
AL031983,830817,6,70,10
AL031983,830817,12,75,10
AL031983,830817,18,90,20
AL031983,830818,0,95,20
AL031983,830818,6,100,10
AL031983,830818,12,80,0
AL031983,830818,18,40,0
AL031983,830819,0,35,0
AL031983,830819,6,30,0
AL031983,830819,12,25,0
AL031983,830819,18,25,0
AL031983,830820,0,20,0
AL041983,830823,18,25,0
AL041983,830824,0,30,0
AL041983,830824,6,40,15
AL041983,830824,12,50,20
AL041983,830824,18,50,10
AL041983,830825,0,45,-5
AL041983,830825,6,40,-10
AL041983,830825,12,30,0
AL041983,830825,18,25,0
AL041983,830826,0,20,0
AL041983,830826,6,25,0
AL041983,830826,12,30,10
AL041983,830826,18,30,5
AL041983,830827,0,30,0
AL041983,830827,6,30,0
AL041983,830827,12,35,5
AL041983,830827,18,45,15
AL041983,830828,0,60,25
AL041983,830828,6,60,15
AL041983,830828,12,65,5
AL041983,830828,18,70,10
AL041983,830829,0,40,0
AL041983,830829,6,30,0
AL041983,830829,12,25,0
AL051983,830910,12,25,0
AL051983,830910,18,30,0
AL051983,830911,0,35,10
